bdt_1,0,http://www.wikidata.org/entity/Q35409
bdt_1,1,http://www.wikidata.org/entity/Q7432
bdt_2,1,"http://www.wikidata.org/entity/Q19858692,http://www.wikidata.org/entity/Q36732,http://www.wikidata.org/entity/Q146481"
bdt_2,2,http://www.wikidata.org/entity/Q36732
bdt_2,3,http://www.wikidata.org/entity/Q38348
bdt_2,4,http://www.wikidata.org/entity/Q37517
bdt_2,5,http://www.wikidata.org/entity/Q36602
bdt_2,6,http://www.wikidata.org/entity/Q35409
bdt_2,7,http://www.wikidata.org/entity/Q34740
bdt_2,8,http://www.wikidata.org/entity/Q7432
bdt_2,9,http://www.wikidata.org/entity/Q855769
bdt_2,10,http://www.wikidata.org/entity/Q424689
bdt_2,11,http://www.wikidata.org/entity/Q145911
bdt_3,4,"http://www.wikidata.org/entity/Q47018901,http://www.wikidata.org/entity/Q5151"
bdt_3,5,http://www.wikidata.org/entity/Q7432
bdt_3,6,http://www.wikidata.org/entity/Q29539
bdt_4,4,"http://www.wikidata.org/entity/Q3186692,http://www.wikidata.org/entity/Q577"
bdt_4,5,http://www.wikidata.org/entity/Q7432
bdt_4,6,http://www.wikidata.org/entity/Q29539
